Name Party,Code,,Vote Count 1 2,Ab/Aff/Spec/Fed,Total Voters,Total
County Election,,,,,,
Column 01,,,,,,
Pos A01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,
CLINTON/KAINE,WORKI,09 04,,3,2,0,,5
CLINTON/KAINE,WORKI,09 05,,14,0,0,,14
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
CLINTON/KAINE,WORKI,09 06,,1,3,1,,5
"",,Palmyra,,29,14,1,,44
CLINTON/KAINE,WORKI,10 01,,8,0,0,,8
CLINTON/KAINE,WORKI,10 02,,6,0,0,,6
"",,Rose,,14,0,0,,14
CLINTON/KAINE,WORKI,11 01,,3,0,0,,3
CLINTON/KAINE,WORKI,11 02,,3,0,0,,3
"",,Savannah,,6,0,0,,6
CLINTON/KAINE,WORKI,12 01,,8,0,0,,8
CLINTON/KAINE,WORKI,12 02,,4,3,0,,7
CLINTON/KAINE,WORKI,12 03,,3,7,1,,11
CLINTON/KAINE,WORKI,12 04,,11,0,0,,11
CLINTON/KAINE,WORKI,12 05,,4,3,1,,8
CLINTON/KAINE,WORKI,12 06,,2,5,2,,9
"",,Sodus,,32,18,4,,54
CLINTON/KAINE,WORKI,13 01,,3,8,1,,12
CLINTON/KAINE,WORKI,13 02,,22,6,1,,29
CLINTON/KAINE,WORKI,13 03,,9,0,1,,10
CLINTON/KAINE,WORKI,13 04,,17,0,1,,18
CLINTON/KAINE,WORKI,13 05,,8,3,0,,11
"",,Walworth,,59,17,4,,80
CLINTON/KAINE,WORKI,14 01,,2,0,0,,2
CLINTON/KAINE,WORKI,14 02,,10,0,0,,10
CLINTON/KAINE,WORKI,14 03,,11,1,0,,12
CLINTON/KAINE,WORKI,14 04,,7,0,0,,7
CLINTON/KAINE,WORKI,14 05,,10,0,0,,10
"",,Williamson,,40,1,0,,41
CLINTON/KAINE,WORKI,15 01,,2,1,0,,3
Name Party,Code,,Vote Count 1,2 Ab/Aff/Spec/Fed,Total Voters,,,,,Total
CLINTON/KAINE WORKI,15 02,,0,1 0,,,,,,1
CLINTON/KAINE WORKI,15 03,,1,3 0,,,,,,4
